OBJ: TObjArray	TObjArray	An array of objects : 0
 OBJ: TBranchElement	EventAuxiliary	EventAuxiliary : 0 at: 0x480e2d0
 OBJ: TBranchElement	art::RNGsnapshots_rns__SinglesGen.	art::RNGsnapshots_rns__SinglesGen. : 0 at: 0x4824c20
 OBJ: TBranchElement	art::TriggerResults_TriggerResults__SinglesGen.	art::TriggerResults_TriggerResults__SinglesGen. : 0 at: 0x48287b0
 OBJ: TBranchElement	simb::MCTruths_generator__SinglesGen.	simb::MCTruths_generator__SinglesGen. : 0 at: 0x482aae0
 OBJ: TBranchElement	simb::MCParticlesimb::MCTruthvoidart::Assns_largeant__G4.	simb::MCParticlesimb::MCTruthvoidart::Assns_largeant__G4. : 0 at: 0x488b4a0
 OBJ: TBranchElement	art::TriggerResults_TriggerResults__G4.	art::TriggerResults_TriggerResults__G4. : 0 at: 0x488e390
 OBJ: TBranchElement	art::RNGsnapshots_rns__G4.	art::RNGsnapshots_rns__G4. : 0 at: 0x4890640
 OBJ: TBranchElement	sim::AuxDetSimChannels_largeant__G4.	sim::AuxDetSimChannels_largeant__G4. : 0 at: 0x48942d0
 OBJ: TBranchElement	sim::OpDetBacktrackerRecords_largeant__G4.	sim::OpDetBacktrackerRecords_largeant__G4. : 0 at: 0x4897fc0
 OBJ: TBranchElement	sim::SimChannels_largeant__G4.	sim::SimChannels_largeant__G4. : 0 at: 0x489bf80
 OBJ: TBranchElement	sim::SimPhotonsLites_largeant__G4.	sim::SimPhotonsLites_largeant__G4. : 0 at: 0x48a04f0
 OBJ: TBranchElement	simb::MCParticles_largeant__G4.	simb::MCParticles_largeant__G4. : 0 at: 0x48a42f0
 OBJ: TBranchElement	art::TriggerResults_TriggerResults__Detsim.	art::TriggerResults_TriggerResults__Detsim. : 0 at: 0x48b2ee0
 OBJ: TBranchElement	art::RNGsnapshots_rns__Detsim.	art::RNGsnapshots_rns__Detsim. : 0 at: 0x48b51d0
 OBJ: TBranchElement	raw::OpDetWaveforms_opdigi__Detsim.	raw::OpDetWaveforms_opdigi__Detsim. : 0 at: 0x48b8de0
 OBJ: TBranchElement	raw::RawDigits_daq__Detsim.	raw::RawDigits_daq__Detsim. : 0 at: 0x48be2d0
